CustomerTransactionID,CustomerID,TransactionTypeID,InvoiceID,PaymentMethodID,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
292630,1,3,,4,2016-01-01,.00,.00,-84928.32,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292631,401,3,,4,2016-01-01,.00,.00,-53418.53,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292632,801,3,,4,2016-01-01,.00,.00,-2569.10,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292633,802,3,,4,2016-01-01,.00,.00,-2618.55,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292634,820,3,,4,2016-01-01,.00,.00,-1115.27,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292635,826,3,,4,2016-01-01,.00,.00,-9242.55,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292636,828,3,,4,2016-01-01,.00,.00,-2402.35,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292637,829,3,,4,2016-01-01,.00,.00,-5088.75,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292638,832,3,,4,2016-01-01,.00,.00,-1186.80,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292639,847,3,,4,2016-01-01,.00,.00,-1987.20,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292640,861,3,,4,2016-01-01,.00,.00,-2391.43,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292641,872,3,,4,2016-01-01,.00,.00,-538.20,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292642,900,3,,4,2016-01-01,.00,.00,-595.24,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292643,902,3,,4,2016-01-01,.00,.00,-3622.27,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292644,919,3,,4,2016-01-01,.00,.00,-2852.00,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292645,936,3,,4,2016-01-01,.00,.00,-2235.60,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292646,947,3,,4,2016-01-01,.00,.00,-3420.10,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292647,952,3,,4,2016-01-01,.00,.00,-3516.47,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292648,953,3,,4,2016-01-01,.00,.00,-6007.60,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292649,964,3,,4,2016-01-01,.00,.00,-3985.90,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292650,969,3,,4,2016-01-01,.00,.00,-10952.60,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292651,971,3,,4,2016-01-01,.00,.00,-149.50,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292652,974,3,,4,2016-01-01,.00,.00,-2180.40,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292653,976,3,,4,2016-01-01,.00,.00,-4508.00,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292654,982,3,,4,2016-01-01,.00,.00,-1764.33,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292655,1007,3,,4,2016-01-01,.00,.00,-1920.50,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292656,1008,3,,4,2016-01-01,.00,.00,-2531.84,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292657,1019,3,,4,2016-01-01,.00,.00,-568.10,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292658,1023,3,,4,2016-01-01,.00,.00,-128.11,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292659,1024,3,,4,2016-01-01,.00,.00,-2925.60,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292660,1031,3,,4,2016-01-01,.00,.00,-565.80,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292661,1039,3,,4,2016-01-01,.00,.00,-1863.00,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292662,1041,3,,4,2016-01-01,.00,.00,-2114.85,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292663,1044,3,,4,2016-01-01,.00,.00,-1271.90,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292664,1045,3,,4,2016-01-01,.00,.00,-3548.67,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292665,1047,3,,4,2016-01-01,.00,.00,-1324.80,.00,2016-01-01,True,10,2016-01-01 11:30:00.0000000
292667,401,1,61321,,2016-01-01,1296.00,194.40,1490.40,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292669,919,1,61322,,2016-01-01,1600.00,240.00,1840.00,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292671,1,1,61323,,2016-01-01,1080.00,162.00,1242.00,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292673,401,1,61324,,2016-01-01,444.00,66.60,510.60,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292675,969,1,61325,,2016-01-01,437.50,65.63,503.13,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292677,919,1,61326,,2016-01-01,648.00,97.20,745.20,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292679,1,1,61327,,2016-01-01,432.00,64.80,496.80,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292684,1045,1,61328,,2016-01-01,2553.60,383.04,2936.64,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292688,1,1,61329,,2016-01-01,1301.00,195.15,1496.15,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292693,401,1,61330,,2016-01-01,3041.00,456.15,3497.15,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292698,401,1,61331,,2016-01-01,1247.25,187.09,1434.34,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292704,846,1,61332,,2016-01-01,5035.00,755.25,5790.25,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292710,1,1,61333,,2016-01-01,3851.60,577.74,4429.34,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292713,893,1,61334,,2016-01-01,3005.00,450.75,3455.75,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292718,1,1,61335,,2016-01-01,635.00,95.25,730.25,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292721,808,1,61336,,2016-01-01,922.50,138.38,1060.88,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292724,977,1,61337,,2016-01-01,1180.00,177.00,1357.00,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292727,401,1,61338,,2016-01-01,10132.00,1519.80,11651.80,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292732,401,1,61339,,2016-01-01,4927.00,739.05,5666.05,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292736,401,1,61340,,2016-01-01,2794.00,419.10,3213.10,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292739,1,1,61341,,2016-01-01,430.00,64.50,494.50,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292745,401,1,61342,,2016-01-01,4763.00,714.45,5477.45,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292747,401,1,61343,,2016-01-01,260.00,39.00,299.00,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292752,1,1,61344,,2016-01-01,2807.00,421.05,3228.05,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292757,894,1,61345,,2016-01-01,667.60,100.14,767.74,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292762,1,1,61346,,2016-01-01,902.20,135.33,1037.53,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292765,822,1,61347,,2016-01-01,302.00,45.30,347.30,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292770,401,1,61348,,2016-01-01,1093.25,163.99,1257.24,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292774,1,1,61349,,2016-01-01,2145.00,321.75,2466.75,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292778,922,1,61350,,2016-01-01,479.00,71.85,550.85,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292782,1,1,61351,,2016-01-01,490.00,73.50,563.50,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292786,401,1,61352,,2016-01-01,780.00,117.00,897.00,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292792,879,1,61353,,2016-01-01,1942.40,291.36,2233.76,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292797,401,1,61354,,2016-01-01,2544.00,381.60,2925.60,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292803,401,1,61355,,2016-01-01,4010.70,601.61,4612.31,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292806,1,1,61356,,2016-01-01,607.00,91.05,698.05,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292808,401,1,61357,,2016-01-01,52.00,7.80,59.80,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292814,1,1,61358,,2016-01-01,1958.00,293.70,2251.70,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292819,1,1,61359,,2016-01-01,3517.60,527.64,4045.24,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292821,401,1,61360,,2016-01-01,315.00,47.25,362.25,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292826,1,1,61361,,2016-01-01,896.00,134.40,1030.40,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292828,1,1,61362,,2016-01-01,5000.00,750.00,5750.00,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292831,1,1,61363,,2016-01-01,781.00,117.15,898.15,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292834,932,1,61364,,2016-01-01,412.00,61.80,473.80,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
292840,1,1,61365,,2016-01-01,4278.80,641.82,4920.62,.00,2016-01-02,True,18,2016-01-02 11:30:00.0000000
