SupplierTransactionID,SupplierID,TransactionTypeID,PurchaseOrderID,PaymentMethodID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
392850,4,5,4517,4,3700,2021-01-01,675936.00,101390.40,777326.40,.00,2021-01-04,True,14,2021-01-04 09:00:00.0000000
392853,7,5,4518,4,4960,2021-01-01,252506.00,37875.90,290381.90,.00,2021-01-04,True,14,2021-01-04 09:00:00.0000000
392910,4,5,4519,4,1604,2021-01-04,675216.00,101282.40,776498.40,.00,2021-01-04,True,14,2021-01-04 09:00:00.0000000
392913,7,5,4520,4,1077,2021-01-04,252089.20,37813.38,289902.58,.00,2021-01-04,True,14,2021-01-04 09:00:00.0000000
392914,4,7,,4,,2021-01-04,.00,.00,-3887349.60,.00,2021-01-04,True,14,2021-01-04 09:00:00.0000000
392915,7,7,,4,,2021-01-04,.00,.00,-1454306.10,.00,2021-01-04,True,14,2021-01-04 09:00:00.0000000
392956,4,5,4521,4,2619,2021-01-05,675024.00,101253.60,776277.60,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
392959,7,5,4522,4,3263,2021-01-05,251672.40,37750.86,289423.26,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393000,4,5,4523,4,2379,2021-01-06,674304.00,101145.60,775449.60,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393003,7,5,4524,4,9264,2021-01-06,251255.60,37688.34,288943.94,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393037,4,5,4525,4,7829,2021-01-07,673584.00,101037.60,774621.60,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393040,7,5,4526,4,738,2021-01-07,250838.80,37625.82,288464.62,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393069,4,5,4527,4,9599,2021-01-08,672864.00,100929.60,773793.60,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393072,7,5,4528,4,8766,2021-01-08,250422.00,37563.30,287985.30,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393114,4,5,4529,4,8329,2021-01-11,672144.00,100821.60,772965.60,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393117,7,5,4530,4,256,2021-01-11,250005.20,37500.78,287505.98,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393118,4,7,,4,,2021-01-11,.00,.00,-3873108.00,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393119,7,7,,4,,2021-01-11,.00,.00,-1442323.10,.00,2021-01-11,True,10,2021-01-11 09:00:00.0000000
393149,4,5,4531,4,1870,2021-01-12,671424.00,100713.60,772137.60,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393152,7,5,4532,4,7771,2021-01-12,249588.40,37438.26,287026.66,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393182,4,5,4533,4,8387,2021-01-13,670704.00,100605.60,771309.60,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
